id;parent;date;screen_name;followers;location;country
124380629;124145059;27/11/15 07:24;antonioperal;14064;Alicante (Spain);es
124380628;124145059;27/11/15 07:52;jsalvador449;236;Valencia;es
124380627;124145059;27/11/15 08:10;chus_JesusLuis;523;Comunidad Valenciana, (Espa–a);es
124380626;124145059;27/11/15 08:14;chusrrppvlc;99;Valencia;es
124386597;124145059;27/11/15 08:57;palomaadrados;3498;Pozuelo de Alarc—n;es
124386596;124145059;27/11/15 09:04;CarmenRiolobos;3905;Toledo;es
124386595;124145059;27/11/15 09:05;PPAtarfe;291;Cl.Daraxa, 36 Bj. 18230 Atarfe;es
124393761;124145059;27/11/15 09:16;nanyarcas;744;not public;es
124393760;124145059;27/11/15 09:18;Javier_Gon_San;191;not public;es
124401448;124145059;27/11/15 09:39;Estherms1405;348;not public;es
124404457;124145059;27/11/15 09:45;pp_exterior;1650;Espa–a;es
124413226;124145059;27/11/15 10:15;ppribadeo;197;RIBADEO;es
124420092;124145059;27/11/15 10:28;amgmrz;4767;huelva;es
124420091;124145059;27/11/15 10:37;aneshali;1975;algeciras;es
124153115;124145059;26/11/15 21:39;Rampppp;1856;Rosario Alarc—n;es
124225558;124153115;26/11/15 23:25;j_asanchez;15200;Mor_t_ de T_ju–_ (M_drid);es
124225559;124153115;26/11/15 23:26;eliasrodguez;457;Alajer—, Islas Canarias;es
124231463;124153115;26/11/15 23:34;pp_alajero;104;Alajero;es
124153116;124145059;26/11/15 21:39;AlbertGx2;45;Picassent (extramurs);es
124377101;124153116;27/11/15 08:23;Aligimp;525;Pa’s*Valenciˆ;es
124363384;;26/11/15 22:18;fernavillalain;1579;Morata de Taju–a. Madrid;es
124363383;124363384;26/11/15 22:34;pacomeroo;1707;not public;es
124218961;;26/11/15 23:11;RobredoManuel;55;Jerez de la Frontera, Andaluc’a;es
124238899;124218961;26/11/15 23:41;MamenPedemonte;18024;San Fernando-Cadiz;es
124218961;;26/11/15 23:11;RobredoManuel;55;Jerez de la Frontera, Andaluc’a;es
124238899;124218961;26/11/15 23:41;MamenPedemonte;18024;San Fernando-Cadiz;es
124225454;;26/11/15 23:24;maxgavi;461;Malaka (S.VIII a.C) Espa–a;es
124381197;;26/11/15 23:41;AlfonsoCanoRa;973;Villaviciosa de Od—n, Comunidad de Madrid;es
124249749;;27/11/15 00:09;AlberRoC;1585;Le—n-Madrid;es
124250359;;27/11/15 00:12;elvismba;73;Salamanca;es
124260540;;27/11/15 00:32;fonfi761;68;çguilas (Murcia);es
124222544;;26/11/15 22:58;rubensancheztw;83153;En la _esistencia;es
124210701;124222544;26/11/15 23:03;jamarcosf;2017;Poio peque–o (Pontevedra);es
124273950;124222544;27/11/15 00:45;GuilleCT1987;290;Cartagena, Regi—n de Murcia;es
124273949;124222544;27/11/15 00:45;MartinGonzRod;110;Oviedo;es
124273948;124222544;27/11/15 00:48;Eva_mg89;184;not public;es
124273947;124222544;27/11/15 00:50;IGuirnaldo;5;not public;es
124273946;124222544;27/11/15 00:51;guillermoniebl;456;Madrid, Comunidad de Madrid;es
124273945;124222544;27/11/15 00:52;ALANALBUI68;729;Zarag—n, ESPA„A;es
124273944;124222544;27/11/15 00:55;Irenic66;271;not public;es
124273943;124222544;27/11/15 00:58;EduFran24;341;Sevilla (CIUDAD DEL BETIS);es
124273942;124222544;27/11/15 01:02;sarizor;1323;Blanes, Girona;es
124273941;124222544;27/11/15 01:02;KmpBauer;36;Troll town;es
